                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     80,                0.28183,                0.33017,                0.21908,                0.80954,                0.99313,                0.98959,                0.99316,                0.97937,                0.99313,                0.98957,                0.99315,                0.93613,                0.21046,                0.32462,                0.16836,                0.78626,              0.0004556,              0.0004556,              0.0004556,             1.7124e+09,                   8972
                     81,                0.27629,                0.33584,                0.21905,                0.80797,                0.99285,                0.98997,                0.99311,                0.97997,                0.99225,                0.99022,                0.99312,                0.93023,                0.20723,                0.31763,                0.16577,                0.78646,              0.0004358,              0.0004358,              0.0004358,             1.7124e+09,                   9086
                     82,                0.27138,                0.32289,                 0.2139,                0.80626,                0.99423,                0.98851,                 0.9932,                0.98064,                0.99398,                0.98826,                0.99325,                0.93117,                0.20792,                0.32722,                0.16604,                0.78551,               0.000416,               0.000416,               0.000416,             1.7124e+09,                   9197
                     83,                0.27451,                0.32187,                0.21516,                0.80821,                0.99079,                0.99217,                0.99318,                0.98157,                0.99079,                0.99217,                0.99317,                0.93777,                0.20486,                0.32518,                0.16638,                0.78608,              0.0003962,              0.0003962,              0.0003962,             1.7124e+09,                   9306
                     84,                0.27192,                0.32936,                0.21361,                 0.8061,                 0.9922,                0.98997,                0.99313,                0.98246,                 0.9922,                0.98997,                0.99315,                 0.9435,                0.20279,                0.32106,                0.16416,                0.78513,              0.0003764,              0.0003764,              0.0003764,             1.7124e+09,                   9419
                     85,                0.27133,                0.32098,                0.21389,                0.80466,                0.98928,                 0.9926,                0.99324,                0.98218,                0.98928,                 0.9926,                0.99319,                 0.9351,                0.20213,                0.32379,                0.16499,                0.78506,              0.0003566,              0.0003566,              0.0003566,             1.7124e+09,                   9532
                     86,                0.27042,                0.31479,                0.21057,                0.80335,                0.99432,                0.98826,                0.99319,                0.98226,                0.99432,                0.98826,                0.99319,                0.93645,                0.20487,                0.31623,                0.16154,                0.78516,              0.0003368,              0.0003368,              0.0003368,             1.7124e+09,                   9644
                     87,                0.26567,                0.32888,                  0.207,                0.80626,                0.99085,                0.99266,                0.99319,                0.98276,                0.99056,                0.99291,                 0.9932,                0.93496,                0.20674,                0.31275,                0.16461,                0.78481,               0.000317,               0.000317,               0.000317,             1.7124e+09,                   9755
                     88,                0.27075,                 0.3251,                0.21079,                0.80598,                0.99403,                0.98851,                0.99311,                0.98234,                0.99416,                0.98875,                0.99318,                0.93701,                0.20421,                0.31068,                0.16012,                0.78555,              0.0002972,              0.0002972,              0.0002972,             1.7124e+09,                   9868
                     89,                 0.2664,                0.32279,                0.20909,                0.80529,                0.99313,                0.98984,                0.99323,                0.98288,                0.99338,                0.99035,                0.99324,                0.94021,                0.20051,                0.31418,                0.15744,                0.78525,              0.0002774,              0.0002774,              0.0002774,             1.7124e+09,                   9981
